crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,class
0.10328,25.0,5.13,0,453.0,5927.0,47.2,6932.0,8,284,19.7,396.9,9.22,1
0.14932,25.0,5.13,0,453.0,5741.0,66.2,7.2254,8,284,19.7,395.11,13.15,1
0.17171,25.0,5.13,0,453.0,5966.0,93.4,6.8185,8,284,19.7,378.08,14.44,1
0.11027,25.0,5.13,0,453.0,6456.0,67.8,7.2255,8,284,19.7,396.9,6.73,1
0.1265,25.0,5.13,0,453.0,6127.0,43.4,7.9809,8,284,19.7,395.58,9.5,1
0.01951,17.5,1.38,0,0.4161,7104.0,59.5,9.2229,3,216,18.6,393.24,8.05,2
0.03584,80.0,3.37,0,398.0,6.29,17.8,6.6115,4,337,16.1,396.9,4.67,1
0.04379,80.0,3.37,0,398.0,5787.0,31.1,6.6115,4,337,16.1,396.9,10.24,1
0.05789,12.5,6.07,0,409.0,5878.0,21.4,6498.0,4,345,18.9,396.21,8.1,1
0.13554,12.5,6.07,0,409.0,5594.0,36.8,6498.0,4,345,18.9,396.9,13.09,1
0.12816,12.5,6.07,0,409.0,5885.0,33.0,6498.0,4,345,18.9,396.9,8.79,1
0.08826,0.0,10.81,0,413.0,6417.0,6.6,5.2873,4,305,19.2,383.73,6.72,1
0.15876,0.0,10.81,0,413.0,5961.0,17.5,5.2873,4,305,19.2,376.94,9.88,1
0.09164,0.0,10.81,0,413.0,6065.0,7.8,5.2873,4,305,19.2,390.91,5.52,1
0.19539,0.0,10.81,0,413.0,6245.0,6.2,5.2873,4,305,19.2,377.17,7.54,1
0.07896,0.0,12.83,0,437.0,6273.0,6.0,4.2515,5,398,18.7,394.92,6.78,1
0.09512,0.0,12.83,0,437.0,6286.0,45.0,4.5026,5,398,18.7,383.23,8.94,1
0.10153,0.0,12.83,0,437.0,6279.0,74.5,4.0522,5,398,18.7,373.66,11.97,1
0.08707,0.0,12.83,0,437.0,6.14,45.8,4.0905,5,398,18.7,386.96,10.27,1
0.05646,0.0,12.83,0,437.0,6232.0,53.7,5.0141,5,398,18.7,386.4,12.34,1
0.08387,0.0,12.83,0,437.0,5874.0,36.6,4.5026,5,398,18.7,396.06,9.1,1
0.04113,25.0,4.86,0,426.0,6727.0,33.5,5.4007,4,281,19.0,396.9,5.29,1
0.04462,25.0,4.86,0,426.0,6619.0,70.4,5.4007,4,281,19.0,395.63,7.22,1
0.03659,25.0,4.86,0,426.0,6302.0,32.2,5.4007,4,281,19.0,396.9,6.72,1
0.03551,25.0,4.86,0,426.0,6167.0,46.7,5.4007,4,281,19.0,390.64,7.51,1
0.05059,0.0,4.49,0,449.0,6389.0,48.0,4.7794,3,247,18.5,396.9,9.62,1
0.05735,0.0,4.49,0,449.0,6.63,56.1,4.4377,3,247,18.5,392.3,6.53,1
0.05188,0.0,4.49,0,449.0,6015.0,45.1,4.4272,3,247,18.5,395.99,12.86,1
0.07151,0.0,4.49,0,449.0,6121.0,56.8,3.7476,3,247,18.5,395.15,8.44,1
0.0566,0.0,3.41,0,489.0,7007.0,86.3,3.4217,2,270,17.8,396.9,5.5,1
0.05302,0.0,3.41,0,489.0,7079.0,63.1,3.4145,2,270,17.8,396.06,5.7,1
0.04684,0.0,3.41,0,489.0,6417.0,66.1,3.0923,2,270,17.8,392.18,8.81,1
0.03932,0.0,3.41,0,489.0,6405.0,73.9,3.0921,2,270,17.8,393.55,8.2,1
0.04203,28.0,15.04,0,464.0,6442.0,53.6,3.6659,4,270,18.2,395.01,8.16,1
0.02875,28.0,15.04,0,464.0,6211.0,28.9,3.6659,4,270,18.2,396.33,6.21,1
0.04294,28.0,15.04,0,464.0,6249.0,77.3,3615.0,4,270,18.2,396.9,10.59,1
0.12204,0.0,2.89,0,445.0,6625.0,57.8,3.4952,2,276,18.0,357.98,6.65,1
0.11504,0.0,2.89,0,445.0,6127.0,69.6,3.4952,2,276,18.0,391.83,11.34,1
0.12083,0.0,2.89,0,445.0,8069.0,76.0,3.4952,2,276,18.0,396.9,4.21,2
0.08187,0.0,2.89,0,445.0,7.82,36.9,3.4952,2,276,18.0,393.53,3.57,2
0.0686,0.0,2.89,0,445.0,7416.0,62.5,3.4952,2,276,18.0,396.9,6.19,2
0.14866,0.0,8.56,0,0.52,6727.0,79.9,2.7778,5,384,20.9,394.76,9.42,1
0.11432,0.0,8.56,0,0.52,6781.0,71.3,2.8561,5,384,20.9,395.58,7.67,1
0.22876,0.0,8.56,0,0.52,6405.0,85.4,2.7147,5,384,20.9,70.8,10.63,1
0.21161,0.0,8.56,0,0.52,6137.0,87.4,2.7147,5,384,20.9,394.47,13.44,1
0.1396,0.0,8.56,0,0.52,6167.0,90.0,2421.0,5,384,20.9,392.69,12.33,1
0.13262,0.0,8.56,0,0.52,5851.0,96.7,2.1069,5,384,20.9,394.05,16.47,1
0.1712,0.0,8.56,0,0.52,5836.0,91.9,2211.0,5,384,20.9,395.67,18.66,1
0.13117,0.0,8.56,0,0.52,6127.0,85.2,2.1224,5,384,20.9,387.69,14.09,1
0.12802,0.0,8.56,0,0.52,6474.0,97.1,2.4329,5,384,20.9,395.24,12.27,1
0.26363,0.0,8.56,0,0.52,6229.0,91.2,2.5451,5,384,20.9,391.23,15.55,1
0.10793,0.0,8.56,0,0.52,6195.0,54.4,2.7778,5,384,20.9,393.49,13.0,1
0.10084,0.0,10.01,0,547.0,6715.0,81.6,2.6775,6,432,17.8,395.59,10.16,1
0.12329,0.0,10.01,0,547.0,5913.0,92.9,2.3534,6,432,17.8,394.95,16.21,1
0.22212,0.0,10.01,0,547.0,6092.0,95.4,2548.0,6,432,17.8,396.9,17.09,1
0.14231,0.0,10.01,0,547.0,6254.0,84.2,2.2565,6,432,17.8,388.74,10.45,1
0.17134,0.0,10.01,0,547.0,5928.0,88.2,2.4631,6,432,17.8,344.91,15.76,1
0.13158,0.0,10.01,0,547.0,6176.0,72.5,2.7301,6,432,17.8,393.3,12.04,1
0.15098,0.0,10.01,0,547.0,6021.0,82.6,2.7474,6,432,17.8,394.51,10.3,1
0.13058,0.0,10.01,0,547.0,5872.0,73.1,2.4775,6,432,17.8,338.63,15.37,1
0.14476,0.0,10.01,0,547.0,5731.0,65.2,2.7592,6,432,17.8,391.5,13.61,1
0.06899,0.0,25.65,0,581.0,5.87,69.7,2.2577,2,188,19.1,389.15,14.37,1
0.07165,0.0,25.65,0,581.0,6004.0,84.1,2.1974,2,188,19.1,377.67,14.27,1
0.09299,0.0,25.65,0,581.0,5961.0,92.9,2.0869,2,188,19.1,378.09,17.93,1
0.15038,0.0,25.65,0,581.0,5856.0,97.0,1.9444,2,188,19.1,370.31,25.41,1
0.09849,0.0,25.65,0,581.0,5879.0,95.8,2.0063,2,188,19.1,379.38,17.58,1
0.16902,0.0,25.65,0,581.0,5986.0,88.4,1.9929,2,188,19.1,385.02,14.81,1
0.38735,0.0,25.65,0,581.0,5613.0,95.6,1.7572,2,188,19.1,359.29,27.26,1
0.25915,0.0,21.89,0,624.0,5693.0,96.0,1.7883,4,437,21.2,392.11,17.19,1
0.32543,0.0,21.89,0,624.0,6431.0,98.8,1.8125,4,437,21.2,396.9,15.39,1
0.88125,0.0,21.89,0,624.0,5637.0,94.7,1.9799,4,437,21.2,396.9,18.34,0
0.34006,0.0,21.89,0,624.0,6458.0,98.9,2.1185,4,437,21.2,395.04,12.6,1
1.19294,0.0,21.89,0,624.0,6326.0,97.7,2271.0,4,437,21.2,396.9,12.26,1
0.59005,0.0,21.89,0,624.0,6372.0,97.9,2.3274,4,437,21.2,385.76,11.12,1
0.32982,0.0,21.89,0,624.0,5822.0,95.4,2.4699,4,437,21.2,388.69,15.03,1
0.97617,0.0,21.89,0,624.0,5757.0,98.4,2346.0,4,437,21.2,262.76,17.31,1
0.55778,0.0,21.89,0,624.0,6127.0,98.2,2.1107,4,437,21.2,394.67,16.96,1
0.32264,0.0,21.89,0,624.0,5942.0,93.5,1.9669,4,437,21.2,378.25,16.9,1
0.35233,0.0,21.89,0,624.0,6454.0,98.4,1.8498,4,437,21.2,394.08,14.59,1
0.2498,0.0,21.89,0,624.0,5857.0,98.2,1.6686,4,437,21.2,392.04,21.32,0
0.54452,0.0,21.89,0,624.0,6151.0,97.9,1.6687,4,437,21.2,396.9,18.46,1
0.2909,0.0,21.89,0,624.0,6174.0,93.6,1.6119,4,437,21.2,388.08,24.16,0
1.62864,0.0,21.89,0,624.0,5019.0,100.0,1.4394,4,437,21.2,396.9,34.41,0
3.32105,0.0,19.58,1,871.0,5403.0,100.0,1.3216,5,403,14.7,396.9,26.82,0
4.0974,0.0,19.58,0,871.0,5468.0,100.0,1.4118,5,403,14.7,396.9,26.42,1
2.77974,0.0,19.58,0,871.0,4903.0,97.8,1.3459,5,403,14.7,396.9,29.29,0
2.37934,0.0,19.58,0,871.0,6.13,100.0,1.4191,5,403,14.7,172.91,27.8,0
2.15505,0.0,19.58,0,871.0,5628.0,100.0,1.5166,5,403,14.7,169.27,16.65,1
2.36862,0.0,19.58,0,871.0,4926.0,95.7,1.4608,5,403,14.7,391.71,29.53,0
2.33099,0.0,19.58,0,871.0,5186.0,93.8,1.5296,5,403,14.7,356.99,28.32,1
2.73397,0.0,19.58,0,871.0,5597.0,94.9,1.5257,5,403,14.7,351.85,21.45,1
1.6566,0.0,19.58,0,871.0,6122.0,97.3,1618.0,5,403,14.7,372.8,14.1,1
1.49632,0.0,19.58,0,871.0,5404.0,100.0,1.5916,5,403,14.7,341.6,13.28,1
1.12658,0.0,19.58,1,871.0,5012.0,88.0,1.6102,5,403,14.7,343.28,12.12,1
2.14918,0.0,19.58,0,871.0,5709.0,98.5,1.6232,5,403,14.7,261.95,15.79,1
1.41385,0.0,19.58,1,871.0,6129.0,96.0,1.7494,5,403,14.7,321.02,15.12,1
3.53501,0.0,19.58,1,871.0,6152.0,82.6,1.7455,5,403,14.7,88.01,15.02,1
2.44668,0.0,19.58,0,871.0,5272.0,94.0,1.7364,5,403,14.7,88.63,16.14,0
1.22358,0.0,19.58,0,605.0,6943.0,97.4,1.8773,5,403,14.7,363.43,4.59,2
1.34284,0.0,19.58,0,605.0,6066.0,100.0,1.7573,5,403,14.7,353.89,6.43,1
1.42502,0.0,19.58,0,871.0,6.51,100.0,1.7659,5,403,14.7,364.31,7.39,1
1.27346,0.0,19.58,1,605.0,6.25,92.6,1.7984,5,403,14.7,338.92,5.5,1
1.46336,0.0,19.58,0,605.0,7489.0,90.8,1.9709,5,403,14.7,374.43,1.73,2
1.83377,0.0,19.58,1,605.0,7802.0,98.2,2.0407,5,403,14.7,389.61,1.92,2
1.51902,0.0,19.58,1,605.0,8375.0,93.9,2162.0,5,403,14.7,388.45,3.32,2
2.24236,0.0,19.58,0,605.0,5854.0,91.8,2422.0,5,403,14.7,395.11,11.64,1
2924.0,0.0,19.58,0,605.0,6101.0,93.0,2.2834,5,403,14.7,240.16,9.81,1
2.01019,0.0,19.58,0,605.0,7929.0,96.2,2.0459,5,403,14.7,369.3,3.7,2
1.80028,0.0,19.58,0,605.0,5877.0,79.2,2.4259,5,403,14.7,227.61,12.14,1
2.3004,0.0,19.58,0,605.0,6319.0,96.1,2.1,5,403,14.7,297.09,11.1,1
2.44953,0.0,19.58,0,605.0,6402.0,95.2,2.2625,5,403,14.7,330.04,11.32,1
1.20742,0.0,19.58,0,605.0,5875.0,94.6,2.4259,5,403,14.7,292.29,14.43,1
2.3139,0.0,19.58,0,605.0,5.88,97.3,2.3887,5,403,14.7,348.13,12.03,1
0.13914,0.0,4.05,0,0.51,5572.0,88.5,2.5961,5,296,16.6,396.9,14.69,1
0.09178,0.0,4.05,0,0.51,6416.0,84.1,2.6463,5,296,16.6,395.5,9.04,1
0.08447,0.0,4.05,0,0.51,5859.0,68.7,2.7019,5,296,16.6,393.23,9.64,1
0.06664,0.0,4.05,0,0.51,6546.0,33.1,3.1323,5,296,16.6,390.96,5.33,1
0.07022,0.0,4.05,0,0.51,6.02,47.2,3.5549,5,296,16.6,393.23,10.11,1
0.05425,0.0,4.05,0,0.51,6315.0,73.4,3.3175,5,296,16.6,395.6,6.29,1
0.06642,0.0,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,391.27,6.92,1
0.0578,0.0,2.46,0,488.0,6.98,58.4,2829.0,3,193,17.8,396.9,5.04,2
0.06588,0.0,2.46,0,488.0,7765.0,83.3,2741.0,3,193,17.8,395.56,7.56,2
0.06888,0.0,2.46,0,488.0,6144.0,62.2,2.5979,3,193,17.8,396.9,9.45,2
0.09103,0.0,2.46,0,488.0,7155.0,92.2,2.7006,3,193,17.8,394.12,4.82,2
0.10008,0.0,2.46,0,488.0,6563.0,95.6,2847.0,3,193,17.8,396.9,5.68,2
0.08308,0.0,2.46,0,488.0,5604.0,89.8,2.9879,3,193,17.8,391.0,13.98,1
0.06047,0.0,2.46,0,488.0,6153.0,68.8,3.2797,3,193,17.8,387.11,13.15,1
0.05602,0.0,2.46,0,488.0,7831.0,53.6,3.1992,3,193,17.8,392.63,4.45,2
0.07875,45.0,3.44,0,437.0,6782.0,41.1,3.7886,5,398,15.2,393.87,6.68,2
0.12579,45.0,3.44,0,437.0,6556.0,29.1,4.5667,5,398,15.2,382.84,4.56,1
0.0837,45.0,3.44,0,437.0,7185.0,38.9,4.5667,5,398,15.2,396.9,5.39,2
0.09068,45.0,3.44,0,437.0,6951.0,21.5,6.4798,5,398,15.2,377.68,5.1,2
0.06911,45.0,3.44,0,437.0,6739.0,30.8,6.4798,5,398,15.2,389.71,4.69,2
0.08664,45.0,3.44,0,437.0,7178.0,26.3,6.4798,5,398,15.2,390.49,2.87,2
0.02187,60.0,2.93,0,401.0,6.8,9.9,6.2196,1,265,15.6,393.37,5.03,2
0.01439,60.0,2.93,0,401.0,6604.0,18.8,6.2196,1,265,15.6,376.7,4.38,1
0.01381,80.0,0.46,0,422.0,7875.0,32.0,5.6484,4,255,14.4,394.23,2.97,2
0.04011,80.0,1.52,0,404.0,7287.0,34.1,7309.0,2,329,12.6,396.9,4.08,2
0.04666,80.0,1.52,0,404.0,7107.0,36.6,7309.0,2,329,12.6,354.31,8.61,2
0.03768,80.0,1.52,0,404.0,7274.0,38.3,7309.0,2,329,12.6,392.2,6.62,2
0.0315,95.0,1.47,0,403.0,6975.0,15.3,7.6534,3,402,17.0,396.9,4.56,2
0.01778,95.0,1.47,0,403.0,7135.0,13.9,7.6534,3,402,17.0,384.3,4.45,2
0.03445,82.5,2.03,0,415.0,6162.0,38.4,6.27,2,348,14.7,393.77,7.43,1
0.02177,82.5,2.03,0,415.0,7.61,15.7,6.27,2,348,14.7,395.38,3.11,2
0.0351,95.0,2.68,0,0.4161,7853.0,33.2,5118.0,4,224,14.7,392.78,3.81,2
0.02009,95.0,2.68,0,0.4161,8034.0,31.9,5118.0,4,224,14.7,390.55,2.88,2
0.13642,0.0,10.59,0,489.0,5891.0,22.3,3.9454,4,277,18.6,396.9,10.87,1
0.22969,0.0,10.59,0,489.0,6326.0,52.5,4.3549,4,277,18.6,394.87,10.97,1
0.25199,0.0,10.59,0,489.0,5783.0,72.7,4.3549,4,277,18.6,389.43,18.06,1
0.13587,0.0,10.59,1,489.0,6064.0,59.1,4.2392,4,277,18.6,381.32,14.66,1
0.43571,0.0,10.59,1,489.0,5344.0,100.0,3875.0,4,277,18.6,396.9,23.09,1
0.17446,0.0,10.59,1,489.0,5.96,92.1,3.8771,4,277,18.6,393.25,17.27,1
0.37578,0.0,10.59,1,489.0,5404.0,88.6,3665.0,4,277,18.6,395.24,23.98,1
0.21719,0.0,10.59,1,489.0,5807.0,53.8,3.6526,4,277,18.6,390.94,16.03,1
0.14052,0.0,10.59,0,489.0,6375.0,32.3,3.9454,4,277,18.6,385.81,9.38,1
0.28955,0.0,10.59,0,489.0,5412.0,9.8,3.5875,4,277,18.6,348.93,29.55,1
0.19802,0.0,10.59,0,489.0,6182.0,42.4,3.9454,4,277,18.6,393.63,9.47,1
0.0456,0.0,13.89,1,0.55,5888.0,56.0,3.1121,5,276,16.4,392.8,13.51,1
0.07013,0.0,13.89,0,0.55,6642.0,85.1,3.4211,5,276,16.4,392.78,9.69,1
0.11069,0.0,13.89,1,0.55,5951.0,93.8,2.8893,5,276,16.4,396.9,17.92,1
0.11425,0.0,13.89,1,0.55,6373.0,92.4,3.3633,5,276,16.4,393.74,10.5,1
0.35809,0.0,6.2,1,507.0,6951.0,88.5,2.8617,8,307,17.4,391.7,9.71,1
0.40771,0.0,6.2,1,507.0,6164.0,91.3,3048.0,8,307,17.4,395.24,21.46,1
0.62356,0.0,6.2,1,507.0,6879.0,77.7,3.2721,8,307,17.4,390.39,9.93,1
0.6147,0.0,6.2,0,507.0,6618.0,80.8,3.2721,8,307,17.4,396.9,7.6,2
0.31533,0.0,6.2,0,504.0,8266.0,78.3,2.8944,8,307,17.4,385.05,4.14,2
0.52693,0.0,6.2,0,504.0,8725.0,83.0,2.8944,8,307,17.4,382.0,4.63,2
0.38214,0.0,6.2,0,504.0,8.04,86.5,3.2157,8,307,17.4,387.38,3.13,2
0.41238,0.0,6.2,0,504.0,7163.0,79.9,3.2157,8,307,17.4,372.08,6.36,2
0.29819,0.0,6.2,0,504.0,7686.0,17.0,3.3751,8,307,17.4,377.51,3.92,2
0.44178,0.0,6.2,0,504.0,6552.0,21.4,3.3751,8,307,17.4,380.34,3.76,2
537.0,0.0,6.2,0,504.0,5981.0,68.1,3.6715,8,307,17.4,378.35,11.65,1
0.46296,0.0,6.2,0,504.0,7412.0,76.9,3.6715,8,307,17.4,376.14,5.25,2
0.57529,0.0,6.2,0,507.0,8337.0,73.3,3.8384,8,307,17.4,385.91,2.47,2
0.33147,0.0,6.2,0,507.0,8247.0,70.4,3.6519,8,307,17.4,378.95,3.95,2
0.44791,0.0,6.2,1,507.0,6726.0,66.5,3.6519,8,307,17.4,360.2,8.05,1
0.33045,0.0,6.2,0,507.0,6086.0,61.5,3.6519,8,307,17.4,376.75,10.88,1
0.52058,0.0,6.2,1,507.0,6631.0,76.5,4148.0,8,307,17.4,388.45,9.54,1
0.51183,0.0,6.2,0,507.0,7358.0,71.6,4148.0,8,307,17.4,390.07,4.73,2
0.08244,30.0,4.93,0,428.0,6481.0,18.5,6.1899,6,300,16.6,379.41,6.36,1
0.09252,30.0,4.93,0,428.0,6606.0,42.2,6.1899,6,300,16.6,383.78,7.37,1
0.11329,30.0,4.93,0,428.0,6897.0,54.3,6.3361,6,300,16.6,391.25,11.38,1
0.10612,30.0,4.93,0,428.0,6095.0,65.1,6.3361,6,300,16.6,394.62,12.4,1
0.1029,30.0,4.93,0,428.0,6358.0,52.9,7.0355,6,300,16.6,372.75,11.22,1
0.12757,30.0,4.93,0,428.0,6393.0,7.8,7.0355,6,300,16.6,374.71,5.19,1
0.20608,22.0,5.86,0,431.0,5593.0,76.5,7.9549,7,330,19.1,372.49,12.5,1
0.19133,22.0,5.86,0,431.0,5605.0,70.2,7.9549,7,330,19.1,389.13,18.46,1
0.33983,22.0,5.86,0,431.0,6108.0,34.9,8.0555,7,330,19.1,390.18,9.16,1
0.19657,22.0,5.86,0,431.0,6226.0,79.2,8.0555,7,330,19.1,376.14,10.15,1
0.16439,22.0,5.86,0,431.0,6433.0,49.1,7.8265,7,330,19.1,374.71,9.52,1
0.19073,22.0,5.86,0,431.0,6718.0,17.5,7.8265,7,330,19.1,393.74,6.56,1
0.1403,22.0,5.86,0,431.0,6487.0,13.0,7.3967,7,330,19.1,396.28,5.9,1
0.21409,22.0,5.86,0,431.0,6438.0,8.9,7.3967,7,330,19.1,377.07,3.59,1
0.08221,22.0,5.86,0,431.0,6957.0,6.8,8.9067,7,330,19.1,386.09,3.53,1
0.36894,22.0,5.86,0,431.0,8259.0,8.4,8.9067,7,330,19.1,396.9,3.54,2
0.04819,80.0,3.64,0,392.0,6108.0,32.0,9.2203,1,315,16.4,392.89,6.57,1
0.03548,80.0,3.64,0,392.0,5876.0,19.1,9.2203,1,315,16.4,395.18,9.25,1
0.01538,90.0,3.75,0,394.0,7454.0,34.2,6.3361,3,244,15.9,386.34,3.11,2
0.61154,20.0,3.97,0,647.0,8704.0,86.9,1801.0,5,264,13.0,389.7,5.12,2
0.66351,20.0,3.97,0,647.0,7333.0,100.0,1.8946,5,264,13.0,383.29,7.79,2
0.65665,20.0,3.97,0,647.0,6842.0,100.0,2.0107,5,264,13.0,391.93,6.9,2
0.54011,20.0,3.97,0,647.0,7203.0,81.8,2.1121,5,264,13.0,392.8,9.59,2
0.53412,20.0,3.97,0,647.0,7.52,89.4,2.1398,5,264,13.0,388.37,7.26,2
0.52014,20.0,3.97,0,647.0,8398.0,91.5,2.2885,5,264,13.0,386.86,5.91,2
0.82526,20.0,3.97,0,647.0,7327.0,94.5,2.0788,5,264,13.0,393.42,11.25,2
0.55007,20.0,3.97,0,647.0,7206.0,91.6,1.9301,5,264,13.0,387.89,8.1,2
0.76162,20.0,3.97,0,647.0,5.56,62.8,1.9865,5,264,13.0,392.4,10.45,1
0.7857,20.0,3.97,0,647.0,7014.0,84.6,2.1329,5,264,13.0,384.07,14.79,2
0.57834,20.0,3.97,0,575.0,8297.0,67.0,2.4216,5,264,13.0,384.54,7.44,2
0.5405,20.0,3.97,0,575.0,7.47,52.6,2872.0,5,264,13.0,390.3,3.16,2
0.09065,20.0,6.96,1,464.0,5.92,61.5,3.9175,3,223,18.6,391.34,13.65,1
0.29916,20.0,6.96,0,464.0,5856.0,42.1,4429.0,3,223,18.6,388.65,13.0,1
0.16211,20.0,6.96,0,464.0,6.24,16.3,4429.0,3,223,18.6,396.9,6.59,1
0.1146,20.0,6.96,0,464.0,6538.0,58.7,3.9175,3,223,18.6,394.96,7.73,1
