age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,class
33,2,79923,12,14,2,9,0,4,1,0,0,45,38,1
45,4,204205,0,6,2,2,0,4,1,0,0,65,38,0
36,2,273604,9,13,4,7,1,4,0,0,0,40,38,0
50,5,24185,9,13,2,3,0,4,1,0,0,38,38,1
55,2,127728,11,9,2,2,0,4,1,0,0,50,38,1
43,4,421837,15,10,2,11,0,4,1,7298,0,50,25,1
35,2,141584,12,14,2,0,0,4,1,0,0,45,38,1
59,2,195176,9,13,2,11,0,4,1,0,0,72,38,0
50,2,77905,9,13,0,0,1,4,0,0,0,8,38,0
47,2,329144,15,10,0,9,1,4,1,0,0,48,38,1
47,0,68493,11,9,2,0,0,2,1,0,0,40,38,1
62,2,244087,10,16,2,9,0,4,1,15024,0,50,38,1
24,2,51973,9,13,4,9,3,4,0,0,0,20,38,0
30,2,226396,11,9,2,7,5,4,0,0,0,30,38,0
47,2,98012,12,14,2,9,5,4,0,7688,0,40,38,1
28,2,201954,7,12,4,3,1,4,1,0,0,65,38,1
44,2,173704,9,13,2,3,0,4,1,0,0,40,38,1
44,4,120539,9,13,4,11,1,4,1,0,0,50,38,1
52,1,100226,9,13,2,0,5,4,0,0,0,40,38,1
68,2,223851,11,9,2,0,0,4,1,0,0,24,38,0
54,2,284129,15,10,2,13,0,4,1,0,0,45,38,1
49,1,184428,12,14,2,0,0,4,1,0,0,40,38,0
39,2,183892,11,9,2,6,0,4,1,0,0,40,38,0
41,4,171351,11,9,2,2,0,4,1,0,0,50,38,1
54,2,96062,9,13,2,9,0,4,1,0,0,40,38,0
66,2,151227,9,13,2,7,0,4,1,0,0,40,38,1
48,2,70209,15,10,0,9,4,4,0,0,0,20,38,0
28,2,191027,7,12,5,7,1,4,1,0,0,40,38,0
45,2,327886,14,15,4,9,1,4,1,0,0,40,38,1
30,2,174215,10,16,4,9,1,4,0,0,0,15,38,0
47,0,187581,9,13,2,0,0,4,1,0,0,48,38,1
36,2,231948,11,9,2,2,0,4,1,0,0,64,38,1
20,2,208117,15,10,4,7,3,4,0,0,0,18,38,0
36,2,301614,11,9,2,2,0,4,1,0,0,40,38,0
46,2,229394,11,9,0,3,1,4,0,0,0,40,38,0
39,2,22245,9,13,2,9,1,4,1,0,0,60,38,0
47,5,118447,9,13,2,9,0,4,1,0,0,60,38,1
33,2,166961,1,7,5,11,3,4,0,0,0,20,38,0
20,2,126568,11,9,4,2,1,4,1,0,0,40,38,0
47,1,169699,12,14,2,9,0,4,1,0,0,40,38,1
43,2,152420,15,10,2,6,0,2,1,0,0,50,38,0
20,2,163870,11,9,4,4,3,4,1,0,0,40,38,0
30,2,270889,15,10,2,0,0,4,1,0,0,40,38,1
47,2,173938,9,13,2,3,0,4,1,0,0,57,38,1
67,4,286372,9,13,2,13,0,4,1,0,0,40,38,0
18,2,80616,0,6,4,5,3,4,1,0,0,27,38,0
21,2,109667,15,10,4,7,3,4,1,0,0,40,38,0
56,2,311249,11,9,6,0,4,2,0,0,0,38,38,0
30,2,256970,12,14,2,9,5,4,0,0,0,35,38,1
44,5,166597,12,14,2,0,0,4,1,0,0,40,38,1
35,2,217274,15,10,2,6,0,4,1,0,0,50,38,0
36,1,174640,8,11,4,10,1,2,0,0,0,60,38,1
68,2,171933,5,4,2,2,0,4,1,0,0,40,38,0
20,2,132139,0,6,4,5,3,4,1,0,0,30,38,0
24,2,113631,9,13,4,7,1,4,1,0,0,40,38,0
60,2,145995,9,13,2,11,0,4,1,0,0,40,38,1
48,2,62605,11,9,0,0,1,4,0,0,0,35,38,0
40,2,53727,12,14,4,11,1,4,1,0,0,50,38,1
32,4,56328,9,13,2,9,5,4,0,0,0,8,38,1
29,2,87905,11,9,0,7,1,4,1,10520,0,40,38,1
26,5,106812,8,11,0,3,1,4,0,0,0,38,38,0
58,4,222311,11,9,2,7,0,4,1,7688,0,55,38,1
39,2,207824,11,9,4,5,3,4,1,0,0,60,38,0
24,2,112706,8,11,4,12,3,4,1,0,0,40,38,0
39,2,174924,11,9,5,3,1,4,1,14344,0,40,38,1
39,2,174242,9,13,2,3,0,4,1,15024,0,60,38,1
43,2,186077,11,9,6,13,4,2,1,0,0,40,38,0
39,1,89508,11,9,2,2,0,4,1,0,0,40,38,1
42,2,143046,11,9,4,7,3,4,0,0,0,40,38,0
57,5,39380,11,9,5,7,1,4,0,0,0,35,38,0
35,2,282461,11,9,2,13,0,4,1,0,0,50,38,0
45,0,60267,11,9,2,0,0,4,1,0,0,40,38,1
32,2,207668,11,9,2,2,0,4,1,0,0,50,38,0
45,2,362883,15,10,2,13,0,4,1,0,0,40,38,0
36,0,253627,15,10,2,0,0,4,1,0,0,40,32,1
25,2,332409,8,11,2,2,0,4,1,0,0,40,38,1
40,2,98466,11,9,2,2,0,4,1,0,0,40,38,1
26,2,105787,11,9,4,2,3,4,1,0,0,36,38,0
30,5,343789,15,10,2,0,0,4,1,0,0,40,38,1
23,2,205865,9,13,4,3,3,4,1,0,0,28,38,0
54,3,124963,9,13,2,3,0,4,1,0,0,40,38,1
28,2,66095,11,9,2,11,0,4,1,0,0,40,38,0
61,2,373099,5,4,2,2,0,4,1,0,0,40,38,0
27,2,146760,15,10,4,7,3,2,0,0,0,40,38,0
28,2,156819,11,9,0,5,4,4,0,0,0,36,38,0
31,1,314375,15,10,2,10,0,4,1,0,0,30,38,0
25,2,138111,15,10,4,7,1,4,1,2174,0,40,38,0
39,2,206888,15,10,0,0,1,4,0,0,0,40,38,0
38,2,91039,12,14,2,3,0,4,1,0,0,65,38,1
26,2,181920,9,13,2,9,5,4,0,0,0,45,38,1
51,2,172046,9,13,2,3,0,4,1,0,0,45,38,1
34,2,183778,11,9,2,2,0,4,1,0,0,40,38,0
78,4,59583,5,4,2,4,0,4,1,0,0,25,38,0
19,5,175507,11,9,4,7,1,4,0,0,0,18,38,0
40,2,202168,14,15,2,9,0,4,1,15024,0,55,38,1
37,2,128715,9,13,2,3,0,4,1,0,0,60,38,1
47,2,105381,11,9,0,11,1,4,0,0,0,40,38,0
24,2,284317,9,13,4,7,3,4,0,0,0,30,38,0
45,2,235924,9,13,0,3,3,4,0,0,0,40,38,0
22,2,396895,4,3,2,2,0,4,1,0,0,35,25,0
51,0,73670,10,16,2,9,0,4,1,4386,0,52,38,1
46,2,251474,9,13,2,3,0,4,1,0,0,60,38,1
25,2,36023,11,9,3,13,1,4,1,0,0,55,38,0
49,4,200471,11,9,2,2,0,4,1,0,0,40,38,0
51,2,410114,12,14,2,2,0,4,1,0,0,40,38,1
38,2,270985,15,10,2,3,0,2,1,0,0,50,38,0
43,2,173728,9,13,5,9,4,4,0,0,0,40,38,0
27,4,115438,11,9,2,2,0,4,1,0,0,60,20,1
32,2,252752,12,14,4,3,1,4,0,13550,0,60,38,1
38,2,210610,7,12,2,12,0,4,1,0,0,40,38,1
40,2,200479,8,11,2,9,0,4,1,0,0,40,38,0
38,2,103925,11,9,4,0,4,4,0,0,0,35,38,0
28,2,37805,9,13,2,11,0,4,1,0,0,40,38,1
48,4,309895,15,10,0,5,3,4,0,0,0,40,38,0
50,2,50178,11,9,2,12,0,4,1,0,0,40,38,1
63,0,97855,12,14,2,3,0,4,1,0,0,50,38,1
32,2,153353,11,9,2,2,0,4,1,0,0,40,38,1
33,3,374905,11,9,2,11,0,4,1,0,0,50,38,1
34,2,103596,11,9,2,5,0,4,1,0,0,40,38,0
37,0,133526,9,13,2,0,0,4,1,0,0,40,38,0
44,1,282069,8,11,2,4,0,4,1,0,0,40,38,0
60,2,185836,14,15,2,3,0,4,1,0,0,40,38,1
35,2,301614,11,9,2,7,0,4,1,0,0,60,38,0
35,2,276559,9,13,2,9,0,4,1,7298,0,45,38,1
45,3,40666,14,15,2,9,0,4,1,0,0,55,38,1
26,2,57593,1,7,2,2,0,4,1,0,0,40,38,0
17,2,112795,0,6,4,7,3,4,0,0,0,15,38,0
62,4,96299,9,13,2,11,0,4,1,0,0,40,38,1
47,2,328216,15,10,2,12,0,4,1,7298,0,40,38,1
31,2,170983,9,13,2,3,0,4,1,0,0,60,38,1
22,2,190968,11,9,2,7,0,4,1,0,0,40,38,0
50,2,211319,9,13,2,3,0,4,1,7298,0,50,38,1
50,1,24139,12,14,0,9,4,4,0,0,0,65,38,0
18,2,145005,15,10,4,7,3,4,1,0,0,20,38,0
59,4,201263,9,13,2,11,0,4,1,15024,0,55,38,1
36,5,147258,15,10,0,13,1,4,1,0,0,60,38,0
25,2,394503,15,10,2,11,0,4,1,0,0,40,38,0
50,2,211116,0,6,2,7,0,2,1,0,0,40,38,0
41,2,316820,14,15,0,9,1,4,1,0,0,45,38,1
42,2,209547,15,10,2,11,0,4,1,5178,0,40,38,1
27,2,335421,9,13,4,9,1,4,0,0,0,20,38,0
44,5,156642,11,9,0,9,1,4,0,0,0,39,38,0
24,2,321666,7,12,4,6,3,4,1,0,0,20,38,0
25,2,135603,11,9,2,13,0,4,1,0,0,40,38,1
70,3,158437,14,15,2,9,0,4,1,0,0,35,38,1
51,1,117496,12,14,2,9,5,4,0,0,0,40,38,1
31,2,319146,8,11,2,2,0,4,1,4386,0,40,25,1
36,2,23892,7,12,0,11,1,4,0,0,0,40,38,1
40,1,147206,8,11,2,2,0,4,1,0,0,35,38,0
44,1,150171,11,9,0,0,4,4,0,0,0,40,38,0
31,1,206609,11,9,2,10,0,4,1,0,0,40,38,1
64,2,270333,9,13,2,9,0,4,1,0,0,40,38,1
21,2,296158,0,6,2,7,0,4,1,0,0,25,38,0
62,2,110586,15,10,6,8,4,4,0,0,0,40,38,0
54,2,37237,9,13,2,9,0,4,1,0,0,40,38,1
57,2,346963,9,13,2,3,0,4,1,0,0,40,38,1
65,2,170939,9,13,0,9,1,4,1,6723,0,40,38,0
50,2,48358,11,9,2,2,0,4,1,7688,0,40,38,1
54,2,200783,15,10,2,11,0,4,1,0,0,40,38,0
44,1,189956,9,13,2,10,5,2,0,15024,0,40,38,1
52,2,165681,15,10,2,2,0,4,1,0,0,40,38,1
51,2,131068,11,9,0,7,1,4,0,0,0,40,38,0
42,2,155972,11,9,2,5,0,4,1,0,0,40,38,1
42,2,144002,11,9,2,3,0,4,1,0,0,50,38,1
29,2,132686,11,9,0,6,4,4,1,0,0,40,38,0
39,1,301614,1,7,2,7,0,4,1,0,0,40,38,0
22,2,199698,15,10,4,11,3,4,1,0,0,15,38,0
21,4,99199,11,9,2,2,0,4,1,0,0,40,38,0
29,2,108706,15,10,2,12,5,4,0,0,0,40,38,0
39,2,176900,11,9,2,13,0,4,1,0,0,60,38,1
64,2,316627,4,3,0,2,1,4,1,0,0,40,38,0
41,4,147110,11,9,2,6,0,4,1,0,0,25,38,0
39,2,172186,15,10,2,3,0,4,1,0,0,40,38,1
31,4,181485,9,13,4,11,1,2,1,0,0,40,38,1
44,4,163985,14,15,2,9,0,4,1,0,0,32,38,1
41,2,67065,8,11,2,11,0,4,1,0,0,40,38,0
67,2,150516,5,4,2,2,0,4,1,0,0,24,38,0
18,2,137646,1,7,4,7,3,4,0,0,0,15,38,0
57,1,109973,11,9,0,7,1,4,0,0,0,40,38,0
60,2,139391,15,10,3,6,1,4,1,0,0,50,38,1
44,2,33521,15,10,2,3,0,4,1,0,0,40,38,1
25,2,193787,15,10,4,12,3,4,0,0,0,40,38,0
29,2,130010,12,14,2,3,0,4,1,0,0,40,38,1
53,0,266598,11,9,2,9,0,4,1,0,0,40,38,1
25,2,96268,1,7,0,3,4,4,0,0,0,40,38,0
30,1,200892,12,14,2,9,0,4,1,0,0,40,38,0
47,3,147869,11,9,2,11,0,4,1,0,0,50,38,0
20,2,189148,11,9,2,5,0,4,1,0,0,48,38,0
43,4,336763,15,10,0,11,4,4,0,0,880,42,38,0
43,2,211580,15,10,2,9,0,4,1,0,0,40,38,1
35,2,381583,15,10,2,2,0,3,1,0,0,45,38,1
41,1,271927,9,13,2,9,0,4,1,0,0,45,38,1
42,2,256179,15,10,2,6,5,2,0,0,0,48,38,1
40,2,192259,12,14,4,9,1,4,1,0,0,35,38,0
28,2,210765,11,9,4,2,3,4,1,0,0,40,38,0
47,2,456661,5,4,2,2,0,4,1,0,0,40,25,0
40,2,150528,9,13,2,0,0,4,1,0,0,40,38,0
42,2,37937,8,11,2,7,0,4,1,0,0,45,38,0
58,2,84231,0,6,2,13,0,4,1,0,0,50,38,1
36,2,240755,6,5,2,5,0,4,1,0,0,60,38,0
24,2,190709,15,10,2,13,0,4,1,0,0,65,38,0
17,2,156732,1,7,4,7,2,4,0,0,0,20,38,0
56,2,33323,11,9,2,6,0,4,1,0,0,40,38,0
60,2,184242,11,9,3,7,4,4,0,0,0,20,38,0
40,4,237293,14,15,2,9,5,4,0,15024,0,40,38,1
31,2,158144,15,10,4,0,1,4,0,0,0,40,38,0
20,2,39234,11,9,4,7,3,4,1,0,0,30,38,0
29,2,423024,4,3,2,4,0,4,1,0,0,40,25,0
42,4,34161,14,15,2,9,0,4,1,0,0,40,38,1
22,4,249046,15,10,4,7,3,4,1,0,0,35,38,0
66,4,331960,11,9,2,2,0,4,1,0,0,20,38,0
31,0,294870,7,12,2,2,0,4,1,0,0,40,38,0
45,2,167617,15,10,2,7,0,4,1,0,0,40,38,0
36,0,253627,15,10,2,0,0,4,1,0,0,40,32,1
33,2,240441,15,10,0,2,1,4,1,0,0,45,38,0
27,2,278617,15,10,4,2,1,4,1,0,0,40,38,0
30,2,224462,1,7,2,13,0,4,1,0,0,50,38,0
42,2,287129,9,13,0,9,1,2,1,0,0,40,38,0
39,2,177181,5,4,2,13,0,4,1,0,0,40,38,0
57,2,171242,15,10,2,9,0,4,1,0,0,40,38,1
38,2,51100,9,13,0,3,1,4,1,3325,0,40,38,0
30,2,34574,12,14,2,9,0,4,1,0,0,50,38,0
58,4,159021,10,16,2,9,0,4,1,0,0,16,38,1
37,2,190297,9,13,2,12,0,4,1,0,0,45,38,1
43,2,145441,9,13,2,3,0,4,1,0,0,38,38,1
48,2,64479,9,13,0,3,1,4,1,0,0,47,38,0
52,2,217663,11,9,2,11,0,4,1,0,0,45,38,1
48,2,148995,12,14,2,3,0,4,1,0,0,40,38,1
36,2,29702,11,9,2,11,0,4,1,7688,0,40,38,1
51,2,274528,15,10,2,11,0,4,1,0,0,40,38,0
31,2,283268,9,13,4,9,4,4,0,0,0,36,38,0
31,1,446358,10,16,4,9,1,4,1,0,0,50,25,1
42,2,123838,9,13,2,11,0,4,1,0,0,60,38,1
68,2,204082,15,10,6,3,1,4,0,0,0,45,38,0
42,2,173981,9,13,2,9,0,4,1,0,0,40,21,1
32,2,164197,9,13,2,2,0,4,1,0,0,44,38,1
50,2,280278,11,9,6,9,4,2,0,0,0,40,38,0
18,2,117857,1,7,4,5,1,4,1,0,0,40,38,0
61,2,97128,9,13,2,11,0,4,1,0,0,45,38,1
29,2,244395,1,7,4,7,4,2,0,0,0,40,38,0
42,2,171069,9,13,2,2,0,2,1,15024,0,40,38,1
35,2,189623,10,16,2,3,0,4,1,0,0,45,38,1
57,2,89392,12,14,3,9,1,4,0,0,0,40,38,0
48,5,158451,9,13,5,9,4,4,0,914,0,40,38,0
78,3,385242,9,13,2,3,0,4,1,9386,0,45,38,1
47,5,80914,12,14,2,3,0,4,1,0,0,47,38,1
22,2,147397,15,10,4,11,1,4,1,0,0,44,38,0
36,2,129150,15,10,2,9,0,4,1,0,0,20,38,1
25,2,137951,11,9,4,0,4,4,0,0,0,30,38,0
51,2,250423,12,14,2,11,0,4,1,0,0,55,38,1
44,0,257395,15,10,2,9,0,4,1,0,0,40,38,1
62,4,134768,2,8,2,2,0,4,1,0,0,40,38,1
38,2,269318,9,13,2,0,0,4,1,5178,0,50,38,1
60,2,191188,11,9,2,13,0,4,1,0,0,40,38,0
31,2,137952,15,10,2,7,0,3,1,0,0,40,32,0
42,2,275677,8,11,2,0,0,4,1,0,0,50,38,0
43,2,43945,15,10,2,2,0,4,1,0,0,40,38,1
33,2,178506,11,9,0,0,1,2,0,0,0,40,38,0
61,4,352448,9,13,2,13,0,4,1,0,0,60,38,0
31,2,240283,9,13,2,0,5,4,0,0,0,40,38,1
40,2,47902,11,9,2,3,0,4,1,0,0,40,38,0
55,1,193895,11,9,0,0,4,4,0,0,0,38,38,0
30,2,180168,9,13,0,9,1,4,0,0,0,38,38,0
69,2,229418,11,9,2,13,0,4,1,0,0,40,38,0
61,2,137733,15,10,0,7,1,4,1,0,0,25,38,0
38,2,312271,9,13,2,9,0,4,1,0,0,50,38,1
20,2,119665,11,9,4,2,3,4,1,0,0,40,38,0
69,4,165814,15,10,2,3,0,4,1,0,0,35,38,0
54,2,118108,11,9,2,2,0,2,1,0,0,40,38,0
64,5,222966,5,4,2,7,5,2,0,0,0,40,38,0
65,2,113323,9,13,2,3,0,4,1,0,0,40,38,1
28,2,185647,15,10,0,5,1,4,1,0,0,50,38,0
65,1,188903,11,9,2,5,0,4,1,6418,0,45,38,1
52,2,145155,11,9,6,0,1,4,0,0,0,40,38,0
45,2,184441,5,4,4,6,4,4,0,0,0,42,38,0
21,2,137895,15,10,4,5,3,4,1,0,0,40,38,0
57,2,180779,9,13,2,9,0,4,1,7298,0,40,38,1
47,2,102308,9,13,2,9,0,4,1,0,0,50,38,1
19,2,45381,15,10,4,0,3,4,0,0,0,8,38,0
65,2,129426,15,10,6,0,1,4,0,0,0,40,38,0
40,2,223730,12,14,0,3,4,4,0,0,0,38,38,0
48,2,155862,11,9,0,13,1,4,1,0,0,65,38,0
64,5,104361,15,10,5,0,1,4,0,0,0,65,38,0
50,1,311551,12,14,2,9,0,4,1,7688,0,50,38,1
49,3,125892,14,15,2,9,0,4,1,0,0,40,38,1
41,2,252058,9,13,4,0,1,4,1,0,0,40,38,0
29,2,270421,9,13,2,2,0,4,1,0,0,50,38,1
55,2,125000,11,9,2,6,0,4,1,0,0,40,38,1
38,2,283293,11,9,2,2,0,2,1,0,0,40,38,0
25,5,117393,9,13,2,3,5,4,0,0,0,38,38,0
40,1,33155,11,9,4,7,3,4,1,0,0,40,38,0
34,5,216283,9,13,2,9,5,4,0,0,0,45,38,1
34,2,208043,8,11,2,9,0,4,1,7298,0,45,38,1
29,1,194869,9,13,2,9,0,4,1,0,0,55,38,1
24,2,349691,15,10,4,11,2,2,0,0,0,40,38,0
40,2,383300,11,9,2,5,0,4,1,0,0,40,38,0
51,3,192973,9,13,2,10,0,2,1,0,0,40,38,1
47,1,183486,9,13,2,9,5,4,0,0,0,50,38,1
37,2,150057,11,9,2,2,0,4,1,0,0,52,38,1
25,2,152165,9,13,4,11,1,4,0,0,0,40,38,0
38,4,120985,11,9,2,2,0,4,1,4386,0,35,38,0
34,2,243165,9,13,2,7,0,4,1,0,0,30,38,1
44,2,171484,0,6,2,6,0,4,1,0,0,40,38,1
56,2,47392,8,11,2,12,0,4,1,0,0,40,38,1
36,2,69481,14,15,2,9,0,4,1,0,0,55,38,1
22,2,103805,15,10,4,7,3,4,1,0,0,36,38,0
58,2,170290,11,9,0,7,1,4,1,0,0,35,38,0
62,2,103344,9,13,6,3,1,4,1,10520,0,50,38,1
55,2,197399,11,9,2,2,0,4,1,0,0,50,38,1
45,1,213620,9,13,0,9,1,4,0,0,0,50,38,1
56,2,164332,11,9,2,11,5,4,0,0,0,15,38,0
27,1,223529,8,11,4,0,3,4,1,0,0,43,38,0
28,2,65171,15,10,2,12,0,4,1,0,0,70,38,0
53,5,50048,10,16,2,9,0,4,1,7688,0,50,38,1
48,2,43206,14,15,0,9,4,4,0,0,0,25,38,0
38,2,236391,9,13,2,3,0,4,1,7688,0,40,38,1
37,2,390243,11,9,4,13,1,2,1,0,0,45,38,0
26,2,220656,11,9,4,0,3,2,1,0,0,40,38,0
30,2,385177,9,13,2,9,5,4,0,0,0,24,38,1
24,1,387108,15,10,2,10,0,2,1,0,0,40,38,0
45,2,201865,10,16,2,3,0,4,1,0,0,45,38,1
40,2,51290,12,14,2,9,0,4,1,0,0,50,38,1
53,2,102828,11,9,2,3,0,4,1,0,0,35,38,1
41,1,129060,15,10,0,0,4,2,0,0,0,40,38,0
24,2,258298,8,11,4,12,1,4,1,0,0,45,38,0
33,2,195770,11,9,2,6,0,4,1,0,0,40,38,0
26,2,128777,15,10,4,11,2,2,0,0,0,40,38,0
29,4,266855,9,13,5,9,3,4,1,0,0,40,38,0
47,1,246891,9,13,2,10,0,4,1,0,0,40,38,0
49,2,34446,15,10,2,13,0,4,1,0,0,40,38,0
45,2,194698,15,10,2,2,0,4,1,0,0,40,38,1
51,3,110327,1,7,2,2,0,4,1,0,0,60,38,1
